DistributorId,DistributorRegistrationDate
20350796,2020-02-04T05:22:49.430Z
20354126,2020-02-04T07:27:35.580Z
20354127,2020-02-04T07:21:13.417Z
20360349,2020-02-04T15:57:03.740Z
20371157,2020-02-04T10:17:03.677Z
20371158,2020-02-04T10:14:36.650Z
20385082,2020-02-04T17:04:20.560Z
20387213,2020-02-04T11:20:47.060Z
20400999,2020-02-04T09:03:00.310Z
20401770,2020-02-04T08:46:51.910Z
20401774,2020-02-04T08:47:51.290Z
20401775,2020-02-04T08:45:58.853Z
20402138,2020-02-04T09:00:05.400Z
20404741,2020-02-04T06:24:01.460Z
20404742,2020-02-04T06:25:05.573Z
20404743,2020-02-04T06:25:46.057Z
20404744,2020-02-04T06:08:05.537Z
20404745,2020-02-04T06:10:23.933Z
20404746,2020-02-04T06:29:33.753Z
20406067,2020-02-04T10:06:32.837Z
20406068,2020-02-04T10:12:30.620Z
20406073,2020-02-04T09:05:17.657Z
20406092,2020-02-04T09:56:41.280Z
20406844,2020-02-04T10:23:56.540Z
20407080,2020-02-04T08:40:52.383Z
20407081,2020-02-04T09:07:37.083Z
20407830,2020-02-04T08:40:19.443Z
20409224,2020-02-04T07:07:59.713Z
20410886,2020-02-04T05:51:33.610Z
20411923,2020-02-04T07:39:29.307Z
20411924,2020-02-04T07:16:04.920Z
20412742,2020-02-04T11:50:01.993Z
20412929,2020-02-04T09:01:09.533Z
20412930,2020-02-04T09:10:06.177Z
20413003,2020-02-04T07:44:24.273Z
20413219,2020-02-04T07:44:02.980Z
20413220,2020-02-04T07:45:40.800Z
20413221,2020-02-04T07:47:24.130Z
20413222,2020-02-04T07:54:24.493Z
20413249,2020-02-04T07:25:51.127Z
20413250,2020-02-04T07:40:53.173Z
20414144,2020-02-04T12:11:50.267Z
20414145,2020-02-04T12:18:14.750Z
20414146,2020-02-04T05:56:13.363Z
20414147,2020-02-04T11:57:46.293Z
20414149,2020-02-04T11:52:01.473Z
20416168,2020-02-04T08:33:54.130Z
20416169,2020-02-04T08:34:46.473Z
20416170,2020-02-04T08:35:29.837Z
20416172,2020-02-04T08:43:06.257Z
20416619,2020-02-04T06:23:27.397Z
20417319,2020-02-04T06:06:51.670Z
20418135,2020-02-04T05:52:37.550Z
20418653,2020-02-04T05:44:38.307Z
20418657,2020-02-04T05:35:23.673Z
20418659,2020-02-04T05:43:03.407Z
20418660,2020-02-04T05:41:53.103Z
20418906,2020-02-04T12:12:07.917Z
20418907,2020-02-04T12:13:05.703Z
20418908,2020-02-04T12:14:19.677Z
20418909,2020-02-04T12:15:13.370Z
20418910,2020-02-04T12:16:05.387Z
20418911,2020-02-04T12:17:07.107Z
20418982,2020-02-04T11:23:52.230Z
20419321,2020-02-04T08:49:48.103Z
20419322,2020-02-04T08:51:21.603Z
20419323,2020-02-04T08:52:05.003Z
20419344,2020-02-04T08:50:39.210Z
20419409,2020-02-04T10:24:03.790Z
20419410,2020-02-04T10:25:40.240Z
20419411,2020-02-04T10:27:16.700Z
20420324,2020-02-04T07:41:38.120Z
20420325,2020-02-04T07:40:57.550Z
20420326,2020-02-04T07:26:00.820Z
20420327,2020-02-04T07:39:44.317Z
20420328,2020-02-04T07:38:22.617Z
20420329,2020-02-04T08:42:09.657Z
20420330,2020-02-04T09:01:50.597Z
20420331,2020-02-04T09:23:59.023Z
20420398,2020-02-04T06:06:43.227Z
20420990,2020-02-04T10:41:49.220Z
20420993,2020-02-04T10:36:49.767Z
20420994,2020-02-04T10:35:03.933Z
20421421,2020-02-04T07:02:37.390Z
20427931,2020-02-04T06:58:44.267Z
20434210,2020-02-04T06:12:55.023Z
20436012,2020-02-04T10:49:54.643Z
20441196,2020-02-04T05:50:49.163Z
20444310,2020-02-04T06:16:46.227Z
20446986,2020-02-04T12:19:38.797Z
20448962,2020-02-04T13:52:54.783Z
20448963,2020-02-04T14:02:06.720Z
20451452,2020-02-04T09:26:27.943Z
20454126,2020-02-04T06:08:54.270Z
20456683,2020-02-04T11:00:30.900Z
20458324,2020-02-04T07:33:49.777Z
20458325,2020-02-04T07:38:43.240Z
20458338,2020-02-04T10:19:44.993Z
20458339,2020-02-04T10:22:25.593Z
20458606,2020-02-04T06:51:19.980Z
20458916,2020-02-04T06:58:59.423Z
20460612,2020-02-04T07:28:42.163Z
20461296,2020-02-04T08:08:10.737Z
20462175,2020-02-04T06:27:40.190Z
20462176,2020-02-04T06:39:13.360Z
20464081,2020-02-04T06:42:52.020Z
20466037,2020-02-04T02:59:37.997Z
20466045,2020-02-04T12:08:25.453Z
20467972,2020-02-04T08:46:45.767Z
20469230,2020-02-04T05:21:29.887Z
20469231,2020-02-04T05:30:52.567Z
20469232,2020-02-04T05:39:26.273Z
20469233,2020-02-04T05:34:35.320Z
20470229,2020-02-04T02:43:53.507Z
20470230,2020-02-04T08:42:10.433Z
20470235,2020-02-04T02:55:17.007Z
20470238,2020-02-04T12:01:54.747Z
20470239,2020-02-04T12:15:19.110Z
20470240,2020-02-04T12:05:20.050Z
20478087,2020-02-04T14:29:14.077Z
20481146,2020-02-04T07:10:06.093Z
20481147,2020-02-04T07:11:46.067Z
20481148,2020-02-04T07:13:34.850Z
20481149,2020-02-04T07:18:58.693Z
20481150,2020-02-04T07:08:29.327Z
20481785,2020-02-04T08:36:39.493Z
20482775,2020-02-04T13:05:08.537Z
20483346,2020-02-04T10:49:35.173Z
20483805,2020-02-04T12:41:00.283Z
20484886,2020-02-04T13:02:28.207Z
20484965,2020-02-04T05:24:56.110Z
20484971,2020-02-04T05:08:53.017Z
20485569,2020-02-04T05:41:48.567Z
20485589,2020-02-04T05:56:03.453Z
20485635,2020-02-04T08:59:32.920Z
20486907,2020-02-04T11:10:10.780Z
20486922,2020-02-04T05:58:08.380Z
20486923,2020-02-04T05:53:29.627Z
20486924,2020-02-04T05:59:25.317Z
20487091,2020-02-04T09:07:55.830Z
20487138,2020-02-04T07:59:23.130Z
20487139,2020-02-04T07:31:46.017Z
20487140,2020-02-04T07:36:54.917Z
20487141,2020-02-04T07:42:28.863Z
20488723,2020-02-04T06:04:22.283Z
20490217,2020-02-04T05:48:23.587Z
20490507,2020-02-04T10:43:42.930Z
20490508,2020-02-04T10:39:12.710Z
20491197,2020-02-04T08:15:31.643Z
20491198,2020-02-04T08:19:39.327Z
20491199,2020-02-04T08:21:31.780Z
20491601,2020-02-04T07:32:17.163Z
20491602,2020-02-04T07:12:16.253Z
20493415,2020-02-04T08:42:26.530Z
20493470,2020-02-04T06:44:11.353Z
20493471,2020-02-04T06:50:25.613Z
20493472,2020-02-04T06:34:16.260Z
20493824,2020-02-04T11:05:45.630Z
20494348,2020-02-04T09:28:22.957Z
20498330,2020-02-04T06:43:37.520Z
20498331,2020-02-04T08:40:24.170Z
20498332,2020-02-04T08:42:25.190Z
20498333,2020-02-04T08:43:28.957Z
20498334,2020-02-04T08:44:38.500Z
20498335,2020-02-04T08:45:34.713Z
20498361,2020-02-04T08:23:38.960Z
20498362,2020-02-04T08:26:15.070Z
20498382,2020-02-04T08:03:38.460Z
20498612,2020-02-04T09:41:42.800Z
20499619,2020-02-04T16:15:48.973Z
20499620,2020-02-04T16:09:29.357Z
20499622,2020-02-04T16:05:31.227Z
20499624,2020-02-04T15:46:10.760Z
20499625,2020-02-04T15:49:11.160Z
20499627,2020-02-04T15:43:17.020Z
20499634,2020-02-04T16:00:33.257Z
20499635,2020-02-04T16:12:37.147Z
20499636,2020-02-04T16:21:57.560Z
20499700,2020-02-04T15:55:11.080Z
20500385,2020-02-04T10:23:09.913Z
20500387,2020-02-04T10:24:44.300Z
20500390,2020-02-04T09:22:18.077Z
20500395,2020-02-04T10:21:20.297Z
20500396,2020-02-04T10:41:51.140Z
20500526,2020-02-04T05:34:34.530Z
20500527,2020-02-04T05:33:32.830Z
20500682,2020-02-04T05:28:33.930Z
20500683,2020-02-04T05:29:19.687Z
20501304,2020-02-04T07:42:21.553Z
20501523,2020-02-04T09:27:14.103Z
20884037,2020-02-04T16:33:55.943Z
21001995,2020-02-04T07:31:25.730Z
21016360,2020-02-04T12:03:15.690Z
21061974,2020-02-04T07:53:29.327Z
21082020,2020-02-04T13:16:24.433Z
21195786,2020-02-04T07:03:43.387Z
21210042,2020-02-04T11:49:05.190Z
21395090,2020-02-04T14:40:59.227Z
22070093,2020-02-04T08:12:21.150Z
22221955,2020-02-04T15:40:36.897Z
22335698,2020-02-04T08:27:30.673Z
22421403,2020-02-04T08:36:11.307Z
22520105,2020-02-04T04:50:33.490Z
22558686,2020-02-04T10:41:52.327Z
22568888,2020-02-04T13:36:43.347Z
22620412,2020-02-04T04:41:18.763Z
22639445,2020-02-04T15:46:14.540Z
22690856,2020-02-04T11:14:17.257Z
22723222,2020-02-04T15:57:48.203Z
23547973,2020-02-04T13:02:15.807Z
23581002,2020-02-04T16:20:05.730Z
23855809,2020-02-04T10:49:06.090Z
24021987,2020-02-04T11:28:51.217Z
24080667,2020-02-04T04:33:55.750Z
24096785,2020-02-04T08:27:17.670Z
24111973,2020-02-04T04:37:23.413Z
24205252,2020-02-04T08:08:33.390Z
24925909,2020-02-04T05:48:44.097Z
25005223,2020-02-04T11:40:11.587Z
25067768,2020-02-04T14:02:05.890Z
25117775,2020-02-04T13:57:15.350Z
25122552,2020-02-04T17:16:10.473Z
25155266,2020-02-04T14:40:02.403Z
25295636,2020-02-04T18:00:34.343Z
25533848,2020-02-04T07:53:41.060Z
25814736,2020-02-04T07:00:18.043Z
26011947,2020-02-03T18:31:44.840Z
26212405,2020-02-04T15:32:39.720Z
26262021,2020-02-04T17:09:03.660Z
26399666,2020-02-04T10:45:49.607Z
26994502,2020-02-04T12:24:36.690Z
27111968,2020-02-04T07:32:03.630Z
27238583,2020-02-04T13:05:03.363Z
27843094,2020-02-04T08:57:15.473Z
27994360,2020-02-04T06:52:54.400Z
27999111,2020-02-04T16:51:14.290Z
28122623,2020-02-04T01:47:50.133Z
28228599,2020-02-04T10:36:41.443Z
28248796,2020-02-04T16:25:35.370Z
28688119,2020-02-04T13:23:07.787Z
28770999,2020-02-04T11:01:19.550Z
29021964,2020-02-04T11:48:52.730Z
29054028,2020-02-04T15:56:43.693Z
29400094,2020-02-04T04:23:55.553Z
30027647,2020-02-04T08:11:37.113Z
30046993,2020-02-04T09:24:01.413Z
30048071,2020-02-04T11:24:58.693Z
30051745,2020-02-04T08:13:27.530Z
30051905,2020-02-04T10:53:31.150Z
30052864,2020-02-04T09:07:05.923Z
30059361,2020-02-04T05:33:18.313Z
30061545,2020-02-04T07:34:53.547Z
30063568,2020-02-04T05:27:58.843Z
30080077,2020-02-04T06:55:13.270Z
30080707,2020-02-04T07:59:19.733Z
30200082,2020-02-04T05:45:20.640Z
